experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
0,1,765700,1250483869186700,0,36685000,
0,4,535600,1250483870181700,0,37635800,
0,2,740600,1250483871023300,0,38412900,
0,3,904200,1250483871726300,0,39085400,
0,2,740600,1250483872425600,1,1393400,
0,4,535600,1250483873150300,1,2959000,
0,1,765700,1250483873937300,1,3904000,
0,4,535600,1250483874630900,2,1475000,
0,2,740600,1250483875200600,2,2770400,
0,3,904200,1250483875905700,1,4169300,
0,2,740600,1250483876544000,3,1337400,
0,4,535600,1250483877235700,3,2597800,
0,1,765700,1250483877797700,2,3854400,
0,4,535600,1250483878370100,4,1129400,
0,2,740600,1250483879045600,4,2495300,
0,3,904200,1250483879679400,2,3767500,
0,2,740600,1250483880379500,5,1328900,
0,2,740600,1250483881046400,6,661900,
0,2,740600,1250483881538500,7,488200,
0,4,535600,1250483882088600,5,3713700,
0,1,765700,1250483882915700,3,5113300,
0,4,535600,1250483883651200,6,1558600,
0,2,740600,1250483884408400,8,2866600,
0,2,740600,1250483885095100,9,681500,
0,3,904200,1250483885585500,3,5900800,
0,3,904200,1250483886485300,4,896100,
0,2,740600,1250483887308600,10,2208500,
0,4,535600,1250483888062900,7,4406600,
0,1,765700,1250483888689400,4,5768700,
0,4,535600,1250483889601400,8,1532500,
0,4,535600,1250483890183500,9,576100,
0,2,740600,1250483891076200,11,3740300,
0,3,904200,1250483891726900,5,5235100,
0,2,740600,1250483892407500,12,1326500,
0,4,535600,1250483892990500,10,2802800,
0,1,765700,1250483893539200,5,4845800,
0,4,535600,1250483894318700,11,1314500,
0,2,740600,1250483895096000,13,2684000,
0,2,740600,1250483895799700,14,698700,
0,3,904200,1250483896584100,6,4852100,
0,3,904200,1250483897289300,7,700400,
0,4,535600,1250483897965000,12,3641800,
0,1,765700,1250483898595900,6,5052200,
0,4,535600,1250483899291700,13,1321000,
0,3,904200,1250483899946700,8,2652800,
0,4,535600,1250483900609500,14,1313700,
0,1,765700,1250483901188600,7,2587600,
0,3,904200,1250483901895100,9,1943100,
0,3,904200,1250483902486100,10,586900,
0,1,765700,1250483903223900,8,2024500,
0,3,904200,1250483903790100,11,1289600,
0,1,765700,1250483904496700,9,1267500,
0,1,765700,1250483905174400,10,673200,
0,3,904200,1250483905739500,12,1938900,
0,1,765700,1250483906453700,11,1267000,
0,1,765700,1250483907028900,12,571100,
0,3,904200,1250483907810900,13,2023800,
0,3,904200,1250483908462200,14,646500,
0,1,765700,1250483909062200,13,2027700,
0,1,765700,1250483909828400,14,761900,
0,1,765700,,,TOTAL,,77337700
0,2,740600,,,TOTAL,,63194200
0,3,904200,,,TOTAL,,75828100
0,4,535600,,,TOTAL,,68068800
